,pair,residuals,beta
22,"('ACN', 'J')","0       1.011804
1       1.651135
2       1.620415
3       1.865532
4       2.019819
          ...   
2511    3.664820
2512    2.226191
2513   -4.748863
2514   -8.728920
2515   -4.424405
Length: 2516, dtype: float64","const    5.242296
ACN      0.340883
dtype: float64"
23,"('ACN', 'LH')","0      -1.117538
1      -2.056393
2      -0.654647
3       0.273080
4      -0.108670
          ...   
2511   -0.056857
2512   -2.125238
2513   -6.480514
2514   -6.434417
2515   -4.377276
Length: 2516, dtype: float64","const    59.767708
ACN       0.493802
dtype: float64"
24,"('ACN', 'LOW')","0       17.754578
1       17.431901
2       18.013147
3       17.475236
4       17.436463
          ...    
2511    -0.419952
2512    -4.142780
2513    -7.920352
2514   -11.342651
2515    -5.337290
Length: 2516, dtype: float64","const   -10.240960
ACN       0.703211
dtype: float64"
25,"('ACN', 'SHW')","0       15.960291
1       14.776208
2       16.372599
3       15.391493
4       16.054139
          ...    
2511     5.493597
2512     4.735960
2513    -1.173453
2514    -0.343937
2515     7.715260
Length: 2516, dtype: float64","const    0.782950
ACN      0.914102
dtype: float64"
26,"('ACN', 'TEL')","0        6.186427
1        6.901231
2        7.128595
3        7.107263
4        7.348541
          ...    
2511   -10.610370
2512   -13.610610
2513   -16.125456
2514   -16.976672
2515   -12.481604
Length: 2516, dtype: float64","const    24.967811
ACN       0.347091
dtype: float64"
27,"('ACN', 'UNP')","0       21.618379
1       20.138638
2       21.191853
3       21.980459
4       22.748664
          ...    
2511   -17.014029
2512   -21.942399
2513   -25.367413
2514   -28.426453
2515   -23.037361
Length: 2516, dtype: float64","const    30.290353
ACN       0.609206
dtype: float64"
28,"('ADI', 'LIN')","0       31.882506
1       32.479753
2       30.692048
3       30.090528
4       29.042444
          ...    
2511    21.001785
2512    43.134290
2513    42.098333
2514    32.995158
2515    44.045783
Length: 2516, dtype: float64","const   -22.320871
ADI       2.111657
dtype: float64"
29,"('ADI', 'LOW')","0       12.044698
1       11.686141
2       11.415301
3       11.062340
4       10.633743
          ...    
2511    12.852945
2512    17.232791
2513    17.045778
2514    13.772033
2515    16.208814
Length: 2516, dtype: float64","const   -5.164720
ADI      1.190957
dtype: float64"
30,"('ADI', 'MCD')","0      -22.646943
1      -23.192913
2      -23.140595
3      -23.071264
4      -23.461651
          ...    
2511    -7.744855
2512     1.594333
2513     0.389279
2514    -5.103988
2515     2.841488
Length: 2516, dtype: float64","const    41.883097
ADI       1.201386
dtype: float64"
31,"('ADI', 'MPWR')","0       55.137543
1       55.843229
2       54.215695
3       54.328217
4       51.322155
          ...    
2511   -25.619290
2512    -7.403345
2513    17.002803
2514    -0.694583
2515     7.435412
Length: 2516, dtype: float64","const   -191.132481
ADI        4.030968
dtype: float64"
32,"('ADI', 'ODFL')","0       15.426292
1       15.625404
2       14.925671
3       14.963086
4       14.166181
          ...    
2511   -17.496227
2512   -13.318614
2513   -12.604536
2514    -7.024416
2515    -1.796148
Length: 2516, dtype: float64","const   -43.438707
ADI       1.163552
dtype: float64"
33,"('ADI', 'ROL')","0      -3.156219
1      -3.037867
2      -3.301233
3      -3.260143
4      -3.382409
          ...   
2511    2.518321
2512    4.063938
2513    3.332343
2514    3.076942
2515    4.034815
Length: 2516, dtype: float64","const    2.512910
ADI      0.209867
dtype: float64"
34,"('ADI', 'WM')","0       -1.088346
1       -0.677357
2       -1.272994
3       -1.447510
4       -2.157632
          ...    
2511    21.825495
2512    31.426985
2513    29.135874
2514    28.265684
2515    31.133683
Length: 2516, dtype: float64","const    2.747265
ADI      0.923532
dtype: float64"
35,"('ADI', 'WTW')","0       -5.050924
1       -4.843370
2       -5.255600
3        1.221816
4        1.459027
          ...    
2511    55.334336
2512    63.097335
2513    51.965825
2514    48.508404
2515    55.724725
Length: 2516, dtype: float64","const    61.931474
ADI       1.001955
dtype: float64"
36,"('ADM', 'SJM')","0      -11.317230
1      -11.274872
2      -11.216698
3      -11.758285
4      -11.395886
          ...    
2511    -1.920631
2512    -1.947622
2513    -1.102234
2514    -0.917327
2515    -1.075514
Length: 2516, dtype: float64","const    67.191050
ADM       0.812406
dtype: float64"
37,"('ADP', 'KO')","0      -1.213560
1      -1.317201
2      -0.532819
3      -0.594014
4      -0.861606
          ...   
2511   -5.973710
2512   -6.806723
2513   -7.054477
2514   -7.172103
2515   -6.927307
Length: 2516, dtype: float64","const    20.029128
ADP       0.163112
dtype: float64"
38,"('ADP', 'SRE')","0       0.751005
1       0.700279
2       1.533693
3       0.289155
4      -0.027911
          ...   
2511   -3.435787
2512   -4.651506
2513   -5.273070
2514   -5.110137
2515   -5.324597
Length: 2516, dtype: float64","const    24.799572
ADP       0.203182
dtype: float64"
39,"('ADP', 'WM')","0      -4.183817
1      -3.847483
2      -4.020000
3      -4.317867
4      -4.771578
          ...   
2511   -4.110207
2512   -3.923159
2513   -3.490788
2514   -3.503437
2515   -3.130546
Length: 2516, dtype: float64","const   -5.731869
ADP      0.759388
dtype: float64"
40,"('ADSK', 'TTWO')","0      -19.143882
1      -19.768623
2      -20.963428
3      -21.318807
4      -21.640100
          ...    
2511    -8.148342
2512    -4.659750
2513    -7.545089
2514    -8.749794
2515    -8.367442
Length: 2516, dtype: float64","const    15.226545
ADSK      0.573109
dtype: float64"
