,0,1
311,EXPD,MSCI
312,EXPD,ROK
313,EXPD,TXN
314,F,WY
315,FANG,WBD
316,FAST,LOW
317,FAST,MPWR
318,FAST,MSFT
319,FAST,QCOM
320,FAST,SO
321,FAST,VRSK
322,FAST,WTW
323,FCX,LYB
324,FCX,NXPI
325,FCX,WY
326,FDS,KO
327,FDS,PARA
328,FI,WMT
329,FICO,UHS
330,FITB,PNC
331,FITB,STX
332,FITB,WAT
333,FTNT,LOW
334,FTNT,MS
335,FTNT,PAYX
336,GD,JNPR
337,GD,PRU
338,GD,WBD
339,GDDY,NRG
340,GEHC,YUM
341,GEV,LKQ
342,GEV,NRG
343,GEV,PODD
344,GEV,SLB
345,GNRC,KMX
346,GOOG,MAS
347,GOOG,MPWR
348,GOOG,SHW
349,GOOG,STX
350,GOOG,VMC
351,GOOGL,MAS
352,GOOGL,MPWR
353,GOOGL,SHW
354,GOOGL,STX
355,GOOGL,VMC
356,GPC,ON
357,GPC,ULTA
358,GPN,SLB
359,GPN,ZBH
360,GRMN,MAS
361,GWW,JNPR
362,GWW,KLAC
363,GWW,LLY
364,GWW,PANW
365,GWW,PWR
366,HCA,JNPR
367,HCA,MPWR
368,HCA,OTIS
369,HCA,TSCO
370,HD,J
371,HD,NDAQ
372,HD,SHW
373,HD,SPGI
374,HD,WTW
375,HES,NUE
376,HES,STLD
377,HES,WBD
378,HIG,JNPR
379,HLT,MSI
380,HLT,PEG
381,HLT,PKG
382,HOLX,MCHP
383,HOLX,MNST
384,HOLX,MTD
385,HOLX,NCLH
386,HOLX,TER
387,HON,NSC
388,HON,TXN
389,HON,WAT
390,HON,YUM
391,HPE,KMI
392,HPE,L
393,HPE,MAR
394,HPE,OKE
395,HPE,PRU
396,HPE,RTX
397,HPQ,LH
398,HPQ,RF
399,HPQ,SCHW
400,HSIC,MAA
401,HSIC,SJM
402,HSIC,ULTA
403,HUBB,JNPR
404,HUBB,KLAC
405,HUBB,LLY
406,HUBB,PANW
407,HUBB,PCAR
408,HUBB,PWR
409,HUBB,URI
410,HUBB,VMC
411,HUBB,WBD
412,IBM,TRGP
413,IBM,WAB
414,ICE,MAS
415,ICE,MCO
416,ICE,MU
417,ICE,NOW
418,ICE,SHW
419,ICE,WTW
420,IDXX,POOL
421,IDXX,PPG
422,IDXX,TER
423,INCY,OTIS
424,INTU,J
425,INTU,LOW
426,INTU,MPWR
427,INTU,SHW
428,IP,VTR
429,IPG,MGM
430,IQV,PLD
431,IQV,STE
432,IQV,ZTS
433,IR,KLAC
434,IR,LEN
435,IR,MLM
436,IR,MPWR
437,IR,NVR
438,IR,PANW
439,IR,URI
440,IR,VMC
441,IRM,JNPR
442,IRM,PANW
443,ISRG,WTW
